character,id,name
Jim Gordon,64,Gary Oldman
Dr. Jonathan Crane / Scarecrow,2037,Cillian Murphy
Bruce Wayne / Batman,3894,Christian Bale
Alfred Pennyworth,3895,Michael Caine
Henri Ducard,3896,Liam Neeson
Rachel Dawes,3897,Katie Holmes
Carmine Falcone,207,Tom Wilkinson
Lucius Fox,192,Morgan Freeman
Earle,585,Rutger Hauer
Ra's Al Ghul,3899,Ken Watanabe
Flass,534,Mark Boone Junior
Thomas Wayne,3900,Linus Roache
Finch,544,Larry Holden
Judge Faden,151943,Gerard Murphy
Loeb,128386,Colin McFarlane
Little Boy,489467,Jack Gleeson
Crane Thug #1,1317397,T.J. Ramini
Blonde Female Reporter / Assassin,1334124,Catherine Porter
Bruce Wayne als Kind,1172371,Gus Lewis
Homeless Man,1118,Rade Serbedzija
Martha Wayne,3902,Sara Stewart
Joe Chill,3901,Richard Brake
Rachel Dawes - age 8,78114,Emma Lockhart
Jessica,87194,Christine Adams
Fredericks,70225,John Nolan
Courthouse Reporter #1,79124,Karen David
Faden's Limo Driver,39660,Tamer Hassan
Uniformed Policeman #1,559209,Ronan Leahy
Old Asian Prisoner,1257821,Vincent Wong
Bhutanese Prison Guard #1,67212,Tom Wu
Enormous Prisoner,998501,Turbo Kong
Chinese Police Officer,62937,Sai-Kit Yung
Chinese Police Officer,211586,Chike Chan
Jumpy Thug,93211,David Murray
Dock Thug,556445,Darragh Kelly
Wayne Enterprises Executive,281527,Charles Edwards
Female Restaurant Guest,28749,Lucy Russell
Maitre D,146140,David Bedella
Gotham Dock Employee,36901,Martin McDougall
Arkham Uniformed Policeman,1225357,Roger Griffiths
Arkham Lunatic,39681,Stephen Walters
Arkham Chase Cop,40687,Richard Laing
Gotham Car Cop,27709,Matt Miller
Captain Simonson,1362118,Risteard Cooper
Older Gotham Water Board Technician,10657,Shane Rimmer
Younger Gotham Water Board Technician,70230,Jeremy Theobald
Gotham Society Dame,105159,Alexandra Bastedo
Mrs. Dawes,1094720,Sarah Wateridge
Basement Club Manager,1451681,Charlie Kranz
Bad Swat Cop #1,1111202,Terry McMahon
Liquor Store Owner,156598,Cedric Young
Victor Zsas,1469792,Tim Booth
Valet,101658,Tom Nolan
Hazmat Technician,2974,Roger Yuan
Narrows Resident,1208945,Mel Taylor
Barbara Gordon,1237293,Ilyssa Fradin
Uniformed Policeman,17291,Andrew Pleavin
Driving Cop,135259,Jeff Christian
Arkham Asylum Orderly,208838,Alex Moggridge
Opera Performer,1048571,Rory Campbell
League of Shadows Warriors,25451,Spencer Wilding
League of Shadows Warriors,1214974,Mark Smith
League of Shadows Warriors,60348,Dave Legeno
League of Shadows Warriors,986518,Khan Bonfils
Narrows Cop,1232679,Dominic Burgess
Additional Restaurant Guest #1,1247020  Nadia Cameron-Blakey
Bridge Cop,937527,Jeff Tanner
League of Shadows Warriors (uncredited),94384,Dean Alexandrou
League of Shadows Warriors (uncredited),29406,Joey Ansah
League of Shadows Warriors (uncredited),100586,Jon Foo
League of Shadows Warriors (uncredited),1449198,Emil Martirossian
League of Shadows Warriors (uncredited),81671,Mark Strange
Passenger (uncredited),1363049,Lasco Atkins
Ghotam Car Cop (uncredited),81687,Rick Avery
Fighting Shadow Warrior (uncredited),1390394,James Embree
Narrows Person (uncredited),123796,Gil Kolirin
Opera Hag (uncredited),1207208,Jane Osborn
Narrows Rioter (uncredited),1210410,Dan Poole
Shadow Warrior (uncredited),1207204,Tommy Gunn
Victor Zsasz Attorney (uncredited),968767,Philip Harvey
Opera Hag (uncredited),121701,Russell Wilcox
Gotham Police Officer (uncredited),1392726,Ray Donn
Arkham Lunatic Cell Mate,1583206,John Burke
Narrows Bridge Cop,1226707,John Judd
Courthouse Reporter #2,1690773,Jonathan D. Ellis
Bhutanese Prison Guard #2,1690926,Mark Chiu
Himalayan Child,1691866,Tenzin Clive Ball
Old Himalayan Man,1691868,Tenzin Gyurme
Stocky Chinese Man,1646701,Jamie Hayden
Dock Thug,1602370,John Kazek
Dock Cop,5415,Joseph Rye
Dock Cop,1691875,Kwaku Ankomah
Police Prison Official,1691876,Jo Martin
Male Restaurant Guest,1691887,Timothy Deenihan
Restaurant Blonde #1,1691892,Flavia Masetto
Restaurant Blonde #2,1691895,Emily Steven-Daly
Arkham Thug #1,29615,Noah Lee Margetts
Arkham Thug #2,1233819,Joe Hanley
Arkham Thug #3,1592216,Karl Shiels
Farmer,1692416,Soo Hee Ding
Transit Cop,1692428,Phill Curr
Pedestrian,1695900  Leon Delroy Williams
Narrows Teenager #1,1695915,Joe Sargent
Narrows Teenager #2,1668,Emmanuel Idowu
Arkham Asylum Nurse,1695939,Earlene Bentley
Asian Man - Ra's Al Ghul Decoy,1695946,Jay Buozzi
African Boy in Rags,1695947,Jordan Shaw
Falafel Stand Vendor,369256,Omar Mostafa
Opera Performer Margaret - Soprano,1695948,Poppy Tierney
Caterer,1695949,Fabio Cardascia
League of Shadows Warriors,1695954,Ruben Halse
Male Restaurant Guest,1695959,Mark Straker
Crane Thug #2,1695960,Kieran Hurley